ts,skill,action,outcome,caller,version
2026-08-28T15:07:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-08-28T15:37:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-28T17:01:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-08-28T17:03:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-08-28T18:56:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-29T09:30:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-29T10:40:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-08-29T11:30:00Z,g0-root,invoke,OK,ops-console,2026-09.1
2026-08-29T14:04:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-29T16:17:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-30T09:10:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-30T10:07:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-08-30T12:38:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-30T12:45:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-30T15:19:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-08-30T18:34:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-31T08:48:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-08-31T12:41:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-08-31T12:56:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-31T14:03:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-31T15:22:00Z,g1n0-refund-master,invoke,OK,ops-console,2026-09.1
2026-08-31T15:56:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-08-31T16:21:00Z,g1n0-refund-master,invoke,OK,ops-console,2026-09.1
2026-08-31T17:41:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-01T10:16:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-01T12:35:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-01T13:08:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-01T13:21:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-01T13:28:00Z,g1n0-refund-master,invoke,OK,ops-console,2026-09.1
2026-09-01T15:37:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-02T09:03:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-02T11:39:00Z,g1n0-refund-master,invoke,OK,ops-console,2026-09.1
2026-09-02T13:01:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-02T13:05:00Z,g0-root,invoke,OK,ops-console,2026-09.1
2026-09-02T16:25:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-03T08:01:00Z,g1n0-refund-master,invoke,OK,ops-console,2026-09.1
2026-09-03T10:33:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-09-03T11:05:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-03T11:25:00Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-03T13:47:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-09-04T11:12:00Z,g1n0-refund-master,invoke,OK,ops-console,2026-09.1
2026-09-04T11:34:00Z,g1n1-policy-steward,invoke,OK,g1n0-refund-master,2026-08.4
2026-09-04T11:51:00Z,g1n0-refund-master,invoke,OK,ops-console,2026-09.1
2026-09-04T12:30:00Z,g1n0-refund-master,invoke,OK,ops-console,2026-09.1
2026-09-04T13:23:00Z,g1n0-refund-master,invoke,OK,ops-console,2026-09.1
2026-09-04T14:29:00Z,g0-root,invoke,OK,ops-console,2026-09.1
2026-09-05T12:01:44Z,g1n2-quote-reader,invoke,OK,refund-desk-bot,2026-08.2
2026-09-05T12:01:44Z,g1n2-quote-reader,invoke,"REFUSED — VERSION MISMATCH — you ran 2026-07.9, the canon holds 2026-08.2",refund-desk-bot,2026-07.9
2026-09-05T12:01:44Z,g1n3-legacy-fx-lookup,invoke,"REFUSED — CLEARANCE EXPIRED — signed 2026-04-02, 156d against a 90d limit",refund-desk-bot,2026-04.1
2026-09-05T12:01:44Z,g9n9-shadow-tool,invoke,REFUSED — UNREGISTERED — no such skill in the canon,refund-desk-bot,1.0
2026-09-05T15:58:23Z,g0-root,police,EXEMPT,g2n0-clearance,
2026-09-05T15:58:23Z,g1n0-refund-master,police,PASS,g2n0-clearance,
2026-09-05T15:58:23Z,g1n1-policy-steward,police,PASS,g2n0-clearance,
2026-09-05T15:58:23Z,g1n2-quote-reader,police,PASS,g2n0-clearance,
2026-09-05T15:58:23Z,g2n0-clearance,police,EXEMPT,g2n0-clearance,
2026-09-05T15:58:23Z,g1n3-legacy-fx-lookup,police,BLOCKED,g2n0-clearance,
2026-09-05T16:24:00Z,g0-root,police,EXEMPT,g2n0-clearance,
2026-09-05T16:24:00Z,g1n0-refund-master,police,BLOCKED,g2n0-clearance,
2026-09-05T16:24:00Z,g1n1-policy-steward,police,PASS,g2n0-clearance,
2026-09-05T16:24:00Z,g1n2-quote-reader,police,PASS,g2n0-clearance,
2026-09-05T16:24:00Z,g2n0-clearance,police,EXEMPT,g2n0-clearance,
2026-09-05T16:24:00Z,g1n3-legacy-fx-lookup,police,BLOCKED,g2n0-clearance,
2026-09-05T16:24:11Z,g0-root,police,EXEMPT,g2n0-clearance,
2026-09-05T16:24:11Z,g1n0-refund-master,police,PASS,g2n0-clearance,
2026-09-05T16:24:11Z,g1n1-policy-steward,police,PASS,g2n0-clearance,
2026-09-05T16:24:11Z,g1n2-quote-reader,police,PASS,g2n0-clearance,
2026-09-05T16:24:11Z,g2n0-clearance,police,EXEMPT,g2n0-clearance,
2026-09-05T16:24:11Z,g1n3-legacy-fx-lookup,police,BLOCKED,g2n0-clearance,
